subject	block	trial	trigger	word	priming	dur	ia
A0110	2	602	2	0	0	-1	target
A0110	2	603	10	1	0	-1	target
A0110	2	604	2	0	0	-1	target
A0110	2	605	6	0	1	410	target
A0110	2	606	2	0	0	349	target
A0110	2	607	2	0	0	432	target
A0110	2	608	2	0	0	-1	target
A0110	2	609	10	1	0	-1	target
A0110	2	610	2	0	0	-1	target
A0110	2	611	2	0	0	375	target
A0110	2	612	2	0	0	384	target
A0110	2	613	2	0	0	461	target
A0110	2	614	6	0	1	376	target
A0110	2	615	2	0	0	322	target
A0110	2	616	10	1	0	-1	target
A0110	2	617	10	1	0	-1	target
A0110	2	618	2	0	0	327	target
A0110	2	619	6	0	1	333	target
A0110	2	620	2	0	0	-1	target
A0110	2	621	6	0	1	329	target
A0110	2	622	10	1	0	299	target
A0110	2	623	10	1	0	-1	target
A0110	2	624	2	0	0	336	target
A0110	2	625	10	1	0	-1	target
A0110	2	626	10	1	0	-1	target
A0110	2	627	6	0	1	300	target
A0110	2	628	10	1	0	-1	target
A0110	2	629	6	0	1	300	target
A0110	2	630	6	0	1	349	target
A0110	2	631	2	0	0	328	target
A0110	2	632	2	0	0	-1	target
A0110	2	633	2	0	0	340	target
A0110	2	634	10	1	0	-1	target
A0110	2	635	10	1	0	358	target
A0110	2	636	10	1	0	-1	target
A0110	2	637	6	0	1	373	target
A0110	2	638	2	0	0	-1	target
A0110	2	639	10	1	0	-1	target
A0110	2	640	10	1	0	-1	target
A0110	2	641	2	0	0	432	target
A0110	2	642	10	1	0	-1	target
A0110	2	643	2	0	0	-1	target
A0110	2	644	10	1	0	-1	target
A0110	2	645	6	0	1	386	target
A0110	2	646	2	0	0	331	target
A0110	2	647	10	1	0	-1	target
A0110	2	648	2	0	0	-1	target
A0110	2	649	6	0	1	443	target
A0110	2	650	2	0	0	466	target
A0110	2	651	6	0	1	341	target
A0110	2	652	2	0	0	-1	target
A0110	2	653	10	1	0	-1	target
A0110	2	654	10	1	0	-1	target
A0110	2	655	10	1	0	-1	target
A0110	2	656	6	0	1	320	target
A0110	2	657	10	1	0	-1	target
A0110	2	658	6	0	1	314	target
A0110	2	659	6	0	1	343	target
A0110	2	660	2	0	0	-1	target
A0110	2	661	6	0	1	344	target
A0110	2	662	2	0	0	-1	target
A0110	2	663	2	0	0	-1	target
A0110	2	664	2	0	0	-1	target
A0110	2	665	10	1	0	-1	target
A0110	2	666	10	1	0	-1	target
A0110	2	667	2	0	0	434	target
A0110	2	668	2	0	0	337	target
A0110	2	669	10	1	0	-1	target
A0110	2	670	10	1	0	-1	target
A0110	2	671	2	0	0	-1	target
A0110	2	672	10	1	0	358	target
A0110	2	673	2	0	0	-1	target
A0110	2	674	2	0	0	-1	target
A0110	2	675	10	1	0	-1	target
A0110	2	676	10	1	0	-1	target
A0110	2	677	2	0	0	300	target
