"Occurences","Word","Length","Freq_HAL","Log_Freq_HAL","BG_Mean"
"3","ache","4","846","6.74","1576.67"
"3","help","4","335483","12.72","1188.67"
"3","hold","4","71050","11.17","940.33"
"3","kill","4","70815","11.17","1158.33"
"3","run","3","223338","12.32","1260.00"
"3","tan","3","8619","9.06","2680.00"
"3","travel","6","45977","10.74","1763.20"
"4","abruptly","8","1230","7.11","711.00"
"4","cook","4","13551","9.51","1209.33"
"4","jump","4","26855","10.20","562.67"
"4","painfully","9","1910","7.55","1731.63"
"4","skin","4","24973","10.13","2515.67"
"4","smell","5","9693","9.18","1404.50"
"4","sting","5","2919","7.98","4789.00"
"4","this","4","3251989","14.99","1722.67"
"4","traffic","7","25455","10.14","1420.83"
"4","very","4","587578","13.28","2902.33"
"6","far","3","176812","12.08","1696.50"
"6","food","4","59724","11.00","683.67"
"6","immensely","9","1766","7.48","1750.63"
"6","loudly","6","2995","8.00","1071.40"
"6","practice","8","44294","10.70","2251.14"
"8","bite","4","8162","9.01","2396.00"
"8","is","2","6474135","15.68","2774.00"
"9","fly","3","29393","10.29","1008.50"
"10","high","4","185510","12.13","793.00"
"10","people","6","768168","13.55","1369.80"
"16","quickly","7","42041","10.65","982.17"
"176","can","3","1625073","14.30","2643.00"

